rank_by_installs,title,developer,category,installs,ratings,reviews,rating_ratio_pct,review_ratio_pct,flags,ad_supported,offers_iap,pp_is_http,privacy_policy,appId,first_keyword,matched_keywords,url
29,Truck Transport Simulator,Skyloft Yazılım Bilişim ve Anonim Şirketi,Simulation,10744984,48420,868,0.4506,1.7926,rev/rat<2% (text-less stars),True,True,False,https://skyloftgaming.com/privacy-policy,com.truck.transport.manager,trucking,trucking;truck driver,https://play.google.com/store/apps/details?id=com.truck.transport.manager&hl=en&gl=us
30,Truck Driver - Games for kids,Yateland Games for kids,Racing,10696288,23439,76,0.2191,0.3242,"rev/rat<2% (text-less stars) | huge ratings, no reviews",True,True,False,https://yateland.com/privacy/,com.imayi.truckdriverfree,truck driver,truck driver,https://play.google.com/store/apps/details?id=com.imayi.truckdriverfree&hl=en&gl=us
31,Infocar - OBD2 ELM Scanner,"Infocar Co., Ltd.",Auto & Vehicles,10288581,25614,226,0.249,0.8823,rev/rat<2% (text-less stars),True,True,True,http://infocarmobility.com/sub/_privacy.php,mureung.obdproject,obd2,obd2;vehicle diagnostics,https://play.google.com/store/apps/details?id=mureung.obdproject&hl=en&gl=us
32,WiFi Router Setup & Speedtest,Ahmed Awadallah,Tools,10159874,44847,555,0.4414,1.2375,rev/rat<2% (text-less stars),True,True,False,https://sites.google.com/view/19216811-router-setup,com.gmail.kamdroid3.routerconfigure,router,router;router admin;router config,https://play.google.com/store/apps/details?id=com.gmail.kamdroid3.routerconfigure&hl=en&gl=us
33,TomTom - Maps & Traffic,TomTom International BV,Maps & Navigation,10016665,199170,576,1.9884,0.2892,rev/rat<2% (text-less stars),False,False,False,https://www.tomtom.com/nl_nl/navigation/mobile-apps/amigo-app/privacy-policy/,com.tomtom.speedcams.android.map,truck gps,truck gps;truck navigation,https://play.google.com/store/apps/details?id=com.tomtom.speedcams.android.map&hl=en&gl=us
34,OBD2 Car Scanner - EOBD Facile,Outils OBD Facile,Auto & Vehicles,10003046,81855,288,0.8183,0.3518,rev/rat<2% (text-less stars),False,True,False,https://www.outilsobdfacile.fr/cgu/cgu-app-eobd-facile.php,org.eobdfacile.android,obd2,obd2;vehicle diagnostics,https://play.google.com/store/apps/details?id=org.eobdfacile.android&hl=en&gl=us
35,WiFi Router Master & Analyzer,WiFi Router - WiFi Router Master & Phone Cleaner,Tools,9662850,64166,580,0.664,0.9039,rev/rat<2% (text-less stars),True,True,False,https://grace-tech-co.github.io/privacy_policy.html,com.wifianalyzer.speedtest.wifirouter.wifibooster,router,router,https://play.google.com/store/apps/details?id=com.wifianalyzer.speedtest.wifirouter.wifibooster&hl=en&gl=us
36,WiFiman,Ubiquiti Inc.,Tools,9214969,298255,4652,3.2366,1.5597,rev/rat<2% (text-less stars),False,False,False,https://www.ui.com/legal/privacypolicy,com.ubnt.usurvey,wifi,wifi;wifi analyzer;wifi scanner;network signal,https://play.google.com/store/apps/details?id=com.ubnt.usurvey&hl=en&gl=us
37,Trucker and Trucks,Go Dreams,Simulation,9009131,44992,514,0.4994,1.1424,rev/rat<2% (text-less stars),True,True,False,https://gardenofdreams.games/privacy-policy-4,com.POLOSKUN.BestTrucker2,trucker,trucker,https://play.google.com/store/apps/details?id=com.POLOSKUN.BestTrucker2&hl=en&gl=us
38,MotorData OBD2 ELM car scanner,JSC Legion-Autodata,Auto & Vehicles,7830745,34048,297,0.4348,0.8723,rev/rat<2% (text-less stars),False,True,False,https://motordata-obd.com/privacy_policy/,com.motordata.obd,obd2,obd2;vehicle diagnostics,https://play.google.com/store/apps/details?id=com.motordata.obd&hl=en&gl=us
39,Mini Trucker - truck simulator,FKGames,Simulation,7626499,26499,323,0.3475,1.2189,rev/rat<2% (text-less stars),True,True,False,https://fkgames.ru/privacy-policy/,com.fkgames.minitruckergame,trucker,trucker,https://play.google.com/store/apps/details?id=com.fkgames.minitruckergame&hl=en&gl=us
40,Mi Wi-Fi,Xiaomi Inc.,Tools,7175943,38117,582,0.5312,1.5269,rev/rat<2% (text-less stars),False,False,True,http://www.miui.com/res/doc/privacy/en.html,com.xiaomi.router,router,router,https://play.google.com/store/apps/details?id=com.xiaomi.router&hl=en&gl=us
41,WiFi Password Show & Analyzer,Vidmark Inc.,Tools,5824079,51103,493,0.8774,0.9647,rev/rat<2% (text-less stars),True,True,False,https://www.jedyapps.com/privacy-policy/,com.m24apps.wifimanager,wifi password,wifi password,https://play.google.com/store/apps/details?id=com.m24apps.wifimanager&hl=en&gl=us
42,Router Admin Page,Battery Stats Saver,Productivity,5326906,29985,102,0.5629,0.3402,rev/rat<2% (text-less stars),True,True,False,https://repairbatterylife.com/routeradminpage/privacy,gplx.router.admin.page,router,router;router admin;router config,https://play.google.com/store/apps/details?id=gplx.router.admin.page&hl=en&gl=us
